gab,gh,gbb,gso,gslg,ghbp,gsf,gip,ger,hab,hh,hbb,hso,hslg,hhbp,hsf,hip,her,boxscore
32,5,3,11,0.188,1,0,8,4,28,6,2,8,0.429,0,0,9,2,/boxes/BOS/BOS201404190.shtml
38,13,3,7,0.474,1,1,9,1,31,4,1,6,0.129,0,0,9,7,/boxes/LAN/LAN201408010.shtml
31,7,4,6,0.29,0,0,8,4,31,9,3,6,0.484,0,0,9,2,/boxes/BAL/BAL201406120.shtml
35,9,0,8,0.343,0,1,9,1,30,2,1,8,0.167,0,0,9,2,/boxes/BAL/BAL201408270.shtml
33,7,0,10,0.364,0,0,8,7,34,11,2,8,0.529,1,1,9,1,/boxes/BOS/BOS201405310.shtml
34,7,3,13,0.412,0,0,9,2,33,7,2,9,0.303,0,0,9,4,/boxes/NYA/NYA201404110.shtml
34,8,5,11,0.441,2,0,9,1,32,5,1,7,0.313,0,0,9,6,/boxes/CHN/CHN201406230.shtml
37,10,2,10,0.432,0,0,9,3,32,5,1,9,0.375,0,0,9,6,/boxes/TEX/TEX201408140.shtml
44,11,4,16,0.318,3,1,12,3,47,11,5,11,0.404,0,0,12,5,/boxes/SLN/SLN201404280.shtml
31,5,3,9,0.258,0,0,8,7,33,10,7,6,0.424,0,1,9,1,/boxes/WAS/WAS201407010.shtml
41,9,0,7,0.439,0,0,10,2,39,10,1,6,0.385,0,0,10,3,/boxes/BAL/BAL201409190.shtml
40,16,9,10,0.575,1,2,9,5,38,13,2,9,0.605,0,0,9,13,/boxes/COL/COL201408220.shtml
50,16,4,7,0.48,2,1,13,6,52,15,6,15,0.404,0,0,13,10,/boxes/ATL/ATL201406140.shtml
32,8,2,7,0.438,0,1,8,13,35,16,3,4,0.829,2,0,9,4,/boxes/COL/COL201408060.shtml
30,3,0,11,0.233,0,0,8,11,31,10,5,7,0.645,1,2,9,1,/boxes/SEA/SEA201408110.shtml
34,8,5,12,0.353,0,0,8,4,33,10,2,5,0.424,1,1,9,4,/boxes/KCA/KCA201404190.shtml
42,15,2,6,0.5,0,1,9,4,29,4,3,6,0.31,1,1,9,7,/boxes/MIL/MIL201406290.shtml
35,9,3,6,0.657,0,0,9,4,33,6,3,7,0.273,0,0,9,6,/boxes/LAN/LAN201409010.shtml
39,12,6,7,0.487,0,0,9,5,38,12,2,12,0.474,2,1,9,6,/boxes/ARI/ARI201404120.shtml
36,10,4,8,0.611,0,1,9,1,29,5,3,10,0.207,0,0,9,6,/boxes/ARI/ARI201406250.shtml
30,6,1,5,0.2,1,0,8,3,29,7,2,3,0.414,0,0,9,0,/boxes/CHN/CHN201408120.shtml
40,8,2,4,0.35,0,2,11.2,4,46,12,6,13,0.304,1,0,12,3,/boxes/PIT/PIT201406190.shtml
37,10,4,9,0.297,0,1,8,11,33,10,10,3,0.667,0,0,9,3,/boxes/OAK/OAK201404180.shtml
36,9,2,8,0.306,0,0,9,0,36,9,0,6,0.306,0,0,9,2,/boxes/BOS/BOS201404060.shtml
28,1,0,13,0.071,0,0,8,3,29,5,2,9,0.379,0,0,9,0,/boxes/SFN/SFN201408260.shtml
38,11,4,12,0.421,1,0,10,4,42,14,2,8,0.571,0,0,10,7,/boxes/LAN/LAN201405110.shtml
30,5,1,7,0.167,0,0,8,13,41,19,3,11,0.659,0,0,9,0,/boxes/WAS/WAS201407050.shtml
42,14,3,6,0.405,0,1,9,1,31,5,5,7,0.226,0,0,9,5,/boxes/DET/DET201408170.shtml
31,5,2,7,0.258,1,0,9,1,32,4,3,7,0.219,0,0,9,2,/boxes/DET/DET201410050.shtml
33,7,2,5,0.303,0,1,9,3,30,4,5,7,0.333,0,0,9,3,/boxes/SDN/SDN201407060.shtml
35,6,1,12,0.229,0,0,9.2,3,37,11,6,4,0.378,0,0,10,1,/boxes/SDN/SDN201408270.shtml
35,10,4,3,0.543,0,0,8.2,5,32,7,4,5,0.281,1,1,9,4,/boxes/MIN/MIN201406200.shtml
30,3,0,10,0.2,0,0,8,2,28,6,4,7,0.25,0,0,9,1,/boxes/TBA/TBA201407280.shtml
40,15,3,6,0.525,0,0,9,0,33,8,0,4,0.273,0,0,9,6,/boxes/DET/DET201409050.shtml
34,7,1,4,0.441,1,0,9,0,32,6,2,7,0.188,0,0,9,4,/boxes/SEA/SEA201407130.shtml
32,5,1,8,0.281,0,0,8,5,33,11,1,4,0.727,0,0,9,2,/boxes/CHN/CHN201406070.shtml
35,10,0,2,0.314,0,0,9,1,27,3,2,5,0.222,0,0,9,2,/boxes/KCA/KCA201406210.shtml
49,10,5,14,0.306,0,0,13.2,3,49,9,4,11,0.184,1,1,14,3,/boxes/NYN/NYN201404200.shtml
32,5,3,8,0.313,0,0,8,6,33,11,2,7,0.485,0,1,9,2,/boxes/NYN/NYN201406130.shtml
37,12,1,6,0.541,0,0,9,2,33,6,0,4,0.242,0,0,9,4,/boxes/TOR/TOR201405100.shtml
36,9,5,4,0.361,1,0,9,2,32,6,3,9,0.25,1,0,9,4,/boxes/KCA/KCA201409110.shtml
34,8,2,11,0.441,0,0,8,7,33,11,3,6,0.515,0,0,9,6,/boxes/CLE/CLE201405310.shtml
