gab,gh,gbb,gso,gslg,ghbp,gsf,gip,ger,hab,hh,hbb,hso,hslg,hhbp,hsf,hip,her,boxscore
40,12,5,7,0.475,0,0,11,3,39,9,3,7,0.282,0,0,11,7,/boxes/SFN/SFN201406280.shtml
36,11,2,15,0.5,0,1,8,7,36,13,2,5,0.528,0,0,9,4,/boxes/DET/DET201404240.shtml
32,7,7,7,0.344,0,0,8,6,30,6,0,7,0.567,0,1,9,2,/boxes/SFN/SFN201405230.shtml
31,5,4,11,0.258,0,0,8.2,3,35,9,0,5,0.429,0,0,9,3,/boxes/ARI/ARI201406180.shtml
34,9,1,7,0.382,0,0,8,6,31,10,1,8,0.452,1,0,9,2,/boxes/MIL/MIL201409050.shtml
35,6,0,12,0.4,0,0,10,1,34,8,3,9,0.353,0,1,10,2,/boxes/SEA/SEA201407250.shtml
28,4,5,9,0.179,1,0,8,1,31,8,3,4,0.323,1,0,9,0,/boxes/SLN/SLN201404250.shtml
34,11,5,6,0.471,0,1,9,2,33,8,1,6,0.242,0,0,9,6,/boxes/MIN/MIN201405180.shtml
30,4,2,9,0.167,1,0,8,6,32,9,7,4,0.438,0,1,9,0,/boxes/BOS/BOS201407200.shtml
38,9,2,5,0.342,0,0,9,3,36,10,3,7,0.306,0,0,9,5,/boxes/PHI/PHI201409140.shtml
29,5,3,7,0.207,0,0,8,2,28,6,3,6,0.357,0,1,9,1,/boxes/OAK/OAK201407030.shtml
30,4,1,6,0.133,0,0,8,5,32,10,5,7,0.406,0,2,9,0,/boxes/MIN/MIN201404171.shtml
30,3,2,6,0.2,0,0,9,0,33,8,3,5,0.303,2,0,9,1,/boxes/TBA/TBA201406100.shtml
34,8,5,9,0.235,0,0,9,1,30,4,4,7,0.267,0,0,9,3,/boxes/COL/COL201406090.shtml
30,5,5,6,0.2,1,0,8,8,38,15,1,4,0.737,0,0,9,1,/boxes/PIT/PIT201409170.shtml
33,4,2,8,0.273,0,0,8,2,27,5,3,6,0.296,0,1,9,1,/boxes/SFN/SFN201405240.shtml
33,8,4,7,0.303,0,0,8,6,30,8,5,5,0.467,0,1,9,3,/boxes/BAL/BAL201407020.shtml
41,14,4,8,0.439,0,0,9.2,7,35,10,3,7,0.514,3,0,10,3,/boxes/ATL/ATL201404110.shtml
36,11,3,6,0.639,1,0,9,2,34,9,0,10,0.294,0,0,9,8,/boxes/NYA/NYA201406020.shtml
35,10,4,9,0.314,1,0,8,3,29,7,2,3,0.345,0,0,9,2,/boxes/SLN/SLN201407040.shtml
35,10,5,7,0.314,2,1,8,5,32,11,5,6,0.531,2,0,9,4,/boxes/DET/DET201409140.shtml
39,16,1,2,0.41,0,1,9,0,31,5,2,6,0.194,1,0,9,4,/boxes/SEA/SEA201405090.shtml
32,6,1,8,0.219,0,1,8,3,28,5,2,6,0.321,0,1,9,1,/boxes/HOU/HOU201408010.shtml
38,13,2,5,0.526,0,0,9,2,34,7,5,7,0.382,1,0,9,8,/boxes/DET/DET201406040.shtml
34,9,6,13,0.441,1,0,9,3,33,9,3,7,0.424,0,0,9,4,/boxes/MIA/MIA201409030.shtml
33,9,2,9,0.606,1,0,8.1,6,36,11,4,7,0.583,1,0,9,6,/boxes/CHA/CHA201409132.shtml
30,6,4,9,0.333,0,1,8.1,3,31,5,3,7,0.226,0,0,9,2,/boxes/MIL/MIL201409120.shtml
39,13,1,8,0.513,0,0,9,1,33,7,2,4,0.273,0,1,9,5,/boxes/NYA/NYA201405040.shtml
34,8,3,10,0.5,0,0,8,6,35,12,3,6,0.6,1,0,9,3,/boxes/BAL/BAL201410020.shtml
36,8,3,8,0.25,0,0,8,11,38,16,3,3,0.553,3,0,9,5,/boxes/TBA/TBA201404180.shtml
38,11,5,8,0.395,1,0,9,3,38,11,2,7,0.474,0,0,9,5,/boxes/LAN/LAN201404240.shtml
32,6,1,4,0.344,0,0,8,4,34,11,0,3,0.647,0,0,9,2,/boxes/CLE/CLE201404210.shtml
33,8,3,9,0.242,0,1,9,1,30,4,1,8,0.2,1,0,9,2,/boxes/NYN/NYN201404060.shtml
36,9,0,9,0.417,0,0,9,0,32,5,1,15,0.219,2,0,9,3,/boxes/NYA/NYA201408090.shtml
34,9,3,3,0.471,0,1,8,7,30,7,3,8,0.633,0,0,9,3,/boxes/HOU/HOU201407280.shtml
34,9,2,4,0.471,1,0,9,3,33,8,5,5,0.364,0,1,9,4,/boxes/BOS/BOS201408190.shtml
40,12,4,2,0.375,0,0,9,3,38,12,2,11,0.447,0,0,9,6,/boxes/MIN/MIN201404300.shtml
32,7,3,6,0.531,1,0,9,0,33,7,0,9,0.242,0,0,9,6,/boxes/NYN/NYN201407290.shtml
34,9,2,6,0.382,0,1,8.2,6,33,9,3,6,0.576,0,1,9,4,/boxes/SDN/SDN201406200.shtml
36,11,1,4,0.417,0,0,8,11,30,9,9,9,0.633,0,1,9,3,/boxes/OAK/OAK201405310.shtml
36,11,2,6,0.389,0,0,8,4,27,6,5,6,0.296,1,1,9,3,/boxes/ANA/ANA201408130.shtml
31,7,2,6,0.387,1,2,8,4,33,11,4,7,0.485,0,0,9,4,/boxes/BAL/BAL201408280.shtml
34,8,0,9,0.559,0,0,9,4,38,10,2,7,0.474,0,0,9,5,/boxes/MIN/MIN201406060.shtml
38,14,3,5,0.579,0,0,9,2,34,7,0,6,0.353,0,0,9,7,/boxes/BOS/BOS201405220.shtml
32,11,5,7,0.5,0,2,9,1,30,6,2,13,0.3,1,0,9,6,/boxes/COL/COL201407070.shtml
31,6,2,6,0.323,0,0,9,0,33,7,1,5,0.212,0,0,9,2,/boxes/WAS/WAS201408010.shtml
35,10,1,7,0.314,0,0,9,1,32,5,5,4,0.188,0,0,9,3,/boxes/NYN/NYN201407100.shtml
30,8,6,5,0.3,2,2,8,4,31,7,2,5,0.355,1,0,9,2,/boxes/PIT/PIT201405230.shtml
37,10,3,7,0.568,0,0,9,2,35,9,1,6,0.429,1,1,9,6,/boxes/TOR/TOR201408290.shtml
29,4,4,15,0.345,0,0,9,3,36,9,5,4,0.444,1,0,9,4,/boxes/CLE/CLE201405040.shtml
31,4,0,0,0.161,0,0,8,3,28,6,3,6,0.357,0,0,9,0,/boxes/DET/DET201407010.shtml
31,4,1,11,0.129,0,0,8,5,32,11,1,7,0.406,0,0,9,0,/boxes/TEX/TEX201406280.shtml
33,7,1,4,0.273,0,0,8,3,30,9,2,5,0.4,0,1,9,1,/boxes/TEX/TEX201407250.shtml
32,5,1,13,0.344,1,0,9,1,30,4,3,8,0.267,1,0,9,2,/boxes/TOR/TOR201408070.shtml
30,6,4,3,0.2,0,1,8.2,7,39,14,1,8,0.615,1,0,9,6,/boxes/COL/COL201409180.shtml
35,9,4,8,0.543,0,0,9,3,39,12,3,7,0.308,0,0,9,5,/boxes/TOR/TOR201408080.shtml
31,5,4,5,0.323,1,1,9,1,30,5,5,11,0.2,0,1,9,2,/boxes/SDN/SDN201406280.shtml
37,11,5,7,0.541,1,1,8.2,10,36,14,9,7,0.694,0,2,9,9,/boxes/COL/COL201408171.shtml
30,5,1,7,0.167,1,0,8,3,29,6,4,7,0.207,1,1,9,0,/boxes/TBA/TBA201407130.shtml
37,11,1,8,0.568,0,0,8,4,30,7,2,8,0.533,0,0,9,3,/boxes/TOR/TOR201408310.shtml
25,4,3,6,0.28,1,0,6,5,26,10,3,6,0.615,0,0,7,1,/boxes/CHA/CHA201408040.shtml
33,8,3,10,0.273,0,0,8,2,31,9,4,5,0.387,0,0,9,0,/boxes/TBA/TBA201407260.shtml
32,6,0,13,0.188,0,0,8,1,35,11,1,9,0.4,0,0,9,0,/boxes/ATL/ATL201408310.shtml
40,13,1,11,0.475,0,0,9,2,32,5,2,9,0.281,0,0,9,5,/boxes/ARI/ARI201406060.shtml
32,5,3,10,0.281,0,0,8,5,35,12,0,8,0.543,0,0,9,2,/boxes/ANA/ANA201405180.shtml
35,12,2,4,0.486,0,2,8,9,37,13,3,9,0.622,0,0,9,5,/boxes/TOR/TOR201405270.shtml
35,5,0,3,0.257,0,0,10,0,34,7,3,7,0.206,0,0,10,1,/boxes/TBA/TBA201409040.shtml
38,11,6,9,0.342,0,1,10,6,41,12,4,6,0.317,0,1,10,6,/boxes/ARI/ARI201409260.shtml
39,11,2,7,0.359,0,0,9.1,2,36,8,1,6,0.278,1,0,10,2,/boxes/BAL/BAL201404260.shtml
31,5,1,7,0.226,0,1,8,3,32,10,4,5,0.375,0,0,9,1,/boxes/SLN/SLN201408050.shtml
34,8,1,13,0.294,0,0,9,0,32,6,0,8,0.281,1,0,9,2,/boxes/ARI/ARI201404270.shtml
35,7,4,4,0.429,0,0,10,2,37,7,3,13,0.27,0,0,10,5,/boxes/NYA/NYA201406030.shtml
32,6,3,8,0.25,0,1,8,8,37,13,0,4,0.676,0,0,9,2,/boxes/HOU/HOU201408020.shtml
39,16,9,3,0.821,0,0,9,9,38,10,2,4,0.474,0,0,9,14,/boxes/CIN/CIN201406200.shtml
37,9,2,10,0.27,1,0,9,4,33,10,1,6,0.394,0,0,9,5,/boxes/MIA/MIA201407030.shtml
28,3,0,8,0.107,0,0,8,2,28,4,2,5,0.214,0,0,9,0,/boxes/CLE/CLE201407300.shtml
32,7,7,11,0.281,1,0,9,3,31,5,4,9,0.323,1,0,9,5,/boxes/BOS/BOS201408220.shtml
49,11,1,14,0.306,0,0,13.1,2,47,12,5,7,0.319,0,0,14,1,/boxes/NYA/NYA201407220.shtml
35,9,0,7,0.486,1,0,9,2,29,3,3,5,0.31,0,0,9,4,/boxes/OAK/OAK201405140.shtml
40,14,1,5,0.55,1,0,9,2,30,4,0,6,0.333,0,1,9,7,/boxes/KCA/KCA201405020.shtml
32,8,3,3,0.406,0,1,9,2,33,6,2,8,0.273,1,0,9,6,/boxes/CLE/CLE201407120.shtml
32,8,0,1,0.375,1,1,9,1,31,5,1,5,0.258,1,0,9,2,/boxes/ARI/ARI201409160.shtml
32,6,8,5,0.188,0,0,8,4,32,7,6,12,0.344,0,0,9,2,/boxes/NYN/NYN201405270.shtml
28,4,3,9,0.179,2,0,8,3,34,10,2,10,0.324,0,0,9,1,/boxes/SFN/SFN201408300.shtml
34,8,1,7,0.324,0,0,9,0,30,4,0,2,0.2,0,0,9,6,/boxes/SFN/SFN201406230.shtml
36,11,3,8,0.5,1,0,8,7,34,12,5,5,0.588,1,0,9,3,/boxes/SLN/SLN201408310.shtml
33,7,3,4,0.212,0,0,9,0,30,3,1,8,0.1,0,0,9,2,/boxes/SDN/SDN201405020.shtml
34,13,8,7,0.471,2,2,9,5,35,8,8,8,0.314,0,0,9,6,/boxes/ARI/ARI201403230.shtml
29,5,2,10,0.379,2,1,9,0,30,3,1,8,0.167,0,0,9,4,/boxes/HOU/HOU201406250.shtml
34,8,2,6,0.324,1,1,8,7,33,9,2,9,0.333,2,1,9,4,/boxes/WAS/WAS201405200.shtml
33,7,4,9,0.424,0,0,9,2,31,5,3,1,0.355,0,0,9,3,/boxes/MIA/MIA201409190.shtml
35,7,3,11,0.429,0,1,9.2,7,39,12,3,9,0.615,0,0,10,3,/boxes/MIL/MIL201405270.shtml
30,6,7,6,0.2,1,0,9,2,33,6,5,4,0.273,0,0,9,3,/boxes/PIT/PIT201404230.shtml
40,15,3,14,0.525,0,0,9,2,33,7,7,11,0.303,0,0,9,4,/boxes/CLE/CLE201409020.shtml
36,8,1,7,0.361,0,0,8,11,40,17,6,4,0.75,1,0,9,2,/boxes/COL/COL201404040.shtml
42,16,3,10,0.595,2,1,10,6,45,17,3,10,0.622,2,0,10,10,/boxes/PHI/PHI201407260.shtml
38,13,5,7,0.474,1,0,9,3,31,4,1,5,0.258,1,0,9,6,/boxes/OAK/OAK201408060.shtml
38,7,4,5,0.184,1,2,12,3,44,10,0,6,0.341,2,1,12,6,/boxes/SLN/SLN201405260.shtml
37,8,2,7,0.351,0,0,9.2,4,38,9,4,14,0.447,0,0,10,3,/boxes/CHN/CHN201409230.shtml
33,5,2,8,0.212,0,0,9.2,1,35,7,3,12,0.257,0,0,10,0,/boxes/ATL/ATL201404270.shtml
30,6,0,5,0.2,1,0,8,1,25,5,3,5,0.2,0,0,9,0,/boxes/PIT/PIT201409210.shtml
39,12,5,9,0.564,1,0,9,4,35,9,6,7,0.343,0,0,9,10,/boxes/TBA/TBA201409210.shtml
47,11,1,11,0.383,1,1,11,7,42,10,5,9,0.5,0,0,12,4,/boxes/BAL/BAL201407290.shtml
32,6,5,7,0.219,0,0,8,10,37,15,4,5,0.649,0,0,9,0,/boxes/KCA/KCA201410280.shtml
41,8,1,9,0.341,0,0,10.1,3,41,12,4,4,0.39,0,0,11,2,/boxes/ARI/ARI201406070.shtml
34,8,5,8,0.412,1,0,8,8,34,9,5,10,0.618,1,0,9,3,/boxes/TOR/TOR201404220.shtml
32,6,1,10,0.281,0,0,8,10,35,14,2,11,0.629,1,1,9,1,/boxes/MIA/MIA201403310.shtml
33,9,3,8,0.364,0,0,9,1,33,6,0,8,0.242,1,0,9,3,/boxes/BOS/BOS201409070.shtml
34,8,2,5,0.441,0,1,9,1,32,5,1,6,0.281,0,0,9,3,/boxes/DET/DET201404060.shtml
29,5,1,9,0.207,3,1,8,4,28,6,2,7,0.643,1,0,9,3,/boxes/MIL/MIL201407220.shtml
28,1,2,11,0.036,0,0,8,6,36,13,0,6,0.583,0,0,9,0,/boxes/SDN/SDN201404110.shtml
37,11,2,8,0.405,0,0,8,7,37,16,2,5,0.703,0,1,9,2,/boxes/SDN/SDN201407010.shtml
33,7,1,9,0.303,0,0,8,9,32,11,8,6,0.438,2,2,9,2,/boxes/TBA/TBA201403310.shtml
37,11,4,7,0.351,0,1,8,4,31,8,3,9,0.548,0,0,9,2,/boxes/LAN/LAN201406170.shtml
29,5,4,7,0.207,0,0,8,6,34,11,3,10,0.676,0,1,9,0,/boxes/CHN/CHN201407220.shtml
30,6,2,6,0.233,1,1,8,4,29,8,6,5,0.414,0,0,9,2,/boxes/SLN/SLN201407190.shtml
28,1,1,8,0.143,0,0,8,5,34,12,2,7,0.5,0,0,9,1,/boxes/TOR/TOR201408060.shtml
37,10,0,6,0.324,0,0,10,0,33,7,1,6,0.242,0,0,10,1,/boxes/SEA/SEA201408090.shtml
31,6,0,5,0.258,0,0,8,8,34,9,5,6,0.5,0,0,9,1,/boxes/ANA/ANA201409150.shtml
31,8,3,6,0.452,0,0,8,5,35,12,5,9,0.486,0,0,9,3,/boxes/PIT/PIT201407200.shtml
36,11,2,3,0.444,2,1,9,4,32,7,4,8,0.344,1,1,9,5,/boxes/NYN/NYN201405100.shtml
37,14,2,10,0.432,2,3,8,7,35,12,1,1,0.657,0,0,9,6,/boxes/CHA/CHA201406180.shtml
35,9,3,10,0.286,0,0,8,10,35,12,4,9,0.6,0,0,9,3,/boxes/MIA/MIA201408170.shtml
28,3,4,7,0.107,0,0,8,4,29,6,4,6,0.379,1,0,9,0,/boxes/NYN/NYN201404270.shtml
30,3,0,8,0.1,0,0,9,0,30,3,0,8,0.133,1,0,9,0,/boxes/NYA/NYA201409050.shtml
35,8,0,8,0.4,0,0,8,6,34,10,3,10,0.618,0,0,9,2,/boxes/PIT/PIT201406090.shtml
30,8,0,5,0.333,0,0,8,1,27,5,2,10,0.222,0,0,9,0,/boxes/MIA/MIA201406030.shtml
33,8,2,10,0.364,0,0,9,2,33,9,6,7,0.273,0,0,9,3,/boxes/SDN/SDN201409230.shtml
33,6,4,10,0.333,0,0,8,3,31,8,1,10,0.258,0,0,9,2,/boxes/SEA/SEA201405310.shtml
35,9,3,9,0.486,0,0,8.2,5,34,11,0,4,0.471,1,0,9,4,/boxes/SLN/SLN201407080.shtml
37,12,4,2,0.541,0,1,9,3,33,8,0,5,0.273,0,1,9,8,/boxes/TEX/TEX201406070.shtml
34,8,4,8,0.294,1,0,8.1,2,25,3,3,5,0.28,1,0,9,0,/boxes/SLN/SLN201407070.shtml
37,12,5,8,0.649,0,0,9,6,35,11,2,7,0.457,0,0,9,11,/boxes/CHN/CHN201407120.shtml
41,7,2,12,0.293,0,0,12,1,44,7,4,13,0.25,0,0,12,2,/boxes/MIL/MIL201404220.shtml
30,7,4,11,0.3,0,2,8,5,35,13,2,4,0.486,0,0,9,3,/boxes/OAK/OAK201406010.shtml
36,11,1,8,0.389,0,0,8,2,31,8,3,8,0.323,0,0,9,1,/boxes/MIA/MIA201405240.shtml
48,18,1,5,0.458,0,0,9,2,32,7,2,10,0.344,1,0,9,6,/boxes/CHA/CHA201409090.shtml
34,7,1,11,0.294,1,0,8,3,31,9,2,7,0.452,1,0,9,1,/boxes/CIN/CIN201406220.shtml
37,11,2,5,0.405,0,0,8,3,29,4,6,14,0.241,0,0,9,2,/boxes/NYN/NYN201404230.shtml
37,9,3,11,0.405,1,0,9.1,2,33,7,3,7,0.273,0,0,10,1,/boxes/CLE/CLE201409050.shtml
40,13,3,7,0.525,0,1,9.1,9,44,17,3,9,0.477,0,2,10,7,/boxes/BOS/BOS201409050.shtml
31,5,0,14,0.161,1,0,8,2,31,8,2,3,0.355,0,0,9,0,/boxes/ATL/ATL201407280.shtml
35,9,1,10,0.314,0,0,9,0,29,3,0,6,0.138,0,0,9,2,/boxes/TBA/TBA201408310.shtml
28,4,2,8,0.143,0,0,8,1,24,2,3,4,0.125,1,0,9,0,/boxes/SEA/SEA201405080.shtml
36,11,1,5,0.528,0,1,9,0,32,4,4,6,0.125,0,0,9,5,/boxes/TOR/TOR201406080.shtml
36,9,3,6,0.389,1,0,8,2,28,6,1,9,0.321,0,0,9,1,/boxes/BAL/BAL201403310.shtml
36,10,1,10,0.333,0,0,8,8,38,14,3,7,0.684,0,1,9,5,/boxes/SEA/SEA201405120.shtml
38,7,4,8,0.368,1,0,11,1,37,6,1,8,0.243,0,0,11,3,/boxes/SDN/SDN201405060.shtml
34,7,3,6,0.324,0,0,9,2,32,6,4,9,0.281,0,0,9,3,/boxes/SDN/SDN201404010.shtml
39,14,1,8,0.487,1,1,8,8,35,12,8,7,0.571,0,0,9,4,/boxes/CIN/CIN201409090.shtml
32,5,1,12,0.188,0,0,8,4,33,9,2,10,0.333,0,0,9,1,/boxes/SEA/SEA201409280.shtml
32,6,3,6,0.406,0,0,8,5,33,12,1,5,0.485,0,1,9,4,/boxes/ARI/ARI201407180.shtml
33,8,0,9,0.273,0,0,8,6,34,11,1,8,0.559,0,0,9,0,/boxes/CLE/CLE201409030.shtml
47,12,3,9,0.426,0,0,11.2,2,41,12,9,9,0.317,1,1,12,2,/boxes/SFN/SFN201404150.shtml
33,4,3,11,0.212,0,0,9,3,36,9,3,9,0.25,0,0,10,2,/boxes/ATL/ATL201405090.shtml
30,5,3,8,0.2,0,1,8,6,33,12,1,6,0.515,1,1,9,0,/boxes/LAN/LAN201405130.shtml
30,6,1,7,0.3,0,1,8,3,34,11,4,6,0.5,0,0,9,2,/boxes/LAN/LAN201408220.shtml
37,12,2,13,0.486,0,0,8,1,35,10,3,10,0.343,0,0,9,3,/boxes/PHI/PHI201408200.shtml
36,10,2,8,0.556,0,0,9,0,29,4,0,11,0.138,2,0,9,8,/boxes/MIL/MIL201405310.shtml
33,8,4,7,0.394,0,0,8,9,35,14,4,2,0.514,0,1,9,3,/boxes/BOS/BOS201408140.shtml
33,8,1,5,0.273,0,0,8,8,33,12,8,8,0.667,1,0,9,3,/boxes/CIN/CIN201405010.shtml
32,8,3,9,0.281,0,1,9,2,34,8,3,10,0.294,0,0,9,3,/boxes/SDN/SDN201406210.shtml
37,11,3,12,0.568,0,0,8.2,8,37,13,5,7,0.568,0,0,9,6,/boxes/MIN/MIN201405130.shtml
31,5,1,3,0.194,0,0,8,2,27,5,2,5,0.296,1,0,9,1,/boxes/HOU/HOU201405300.shtml
39,13,2,11,0.564,0,1,9,1,33,7,2,9,0.333,0,0,9,9,/boxes/MIA/MIA201407180.shtml
28,3,3,5,0.143,1,0,8,1,28,6,3,6,0.25,0,1,9,0,/boxes/BOS/BOS201406160.shtml
35,10,0,6,0.4,3,1,8,6,35,11,4,5,0.571,0,0,9,5,/boxes/KCA/KCA201406100.shtml
35,8,4,5,0.343,0,0,9,1,31,4,0,15,0.258,0,0,9,3,/boxes/PHI/PHI201405290.shtml
34,10,4,7,0.588,1,0,9,2,37,12,1,6,0.432,0,1,9,5,/boxes/TBA/TBA201408010.shtml
37,9,1,11,0.378,0,0,9,4,36,11,0,4,0.583,0,0,9,5,/boxes/DET/DET201409060.shtml
36,12,4,8,0.611,1,3,9,4,37,9,2,7,0.324,0,0,9,6,/boxes/NYA/NYA201406040.shtml
32,6,4,9,0.219,0,0,8,3,29,6,3,7,0.207,1,1,9,0,/boxes/BAL/BAL201404160.shtml
33,7,1,7,0.273,0,0,8,5,30,6,6,7,0.4,0,0,9,5,/boxes/OAK/OAK201408080.shtml
31,5,3,9,0.323,1,0,8,3,33,8,2,11,0.364,0,0,9,2,/boxes/LAN/LAN201410040.shtml
33,8,2,8,0.273,1,0,9,3,35,8,4,10,0.371,0,0,9,1,/boxes/WAS/WAS201404190.shtml
37,14,8,6,0.622,1,1,9,1,32,5,2,13,0.188,0,0,9,14,/boxes/BOS/BOS201407280.shtml
38,12,3,11,0.447,1,0,9,1,35,9,2,9,0.286,1,0,9,6,/boxes/CIN/CIN201406100.shtml
33,5,1,6,0.182,0,0,8,11,38,19,3,6,0.684,2,0,9,1,/boxes/MIL/MIL201407130.shtml
34,8,4,6,0.382,1,0,8,4,32,8,4,6,0.375,0,0,9,3,/boxes/BOS/BOS201409060.shtml
29,6,3,10,0.414,0,0,9,1,32,7,2,7,0.344,0,0,9,4,/boxes/BAL/BAL201405130.shtml
39,14,2,5,0.513,2,1,9,1,30,6,2,8,0.267,0,0,9,4,/boxes/MIL/MIL201408100.shtml
34,10,6,4,0.588,0,1,8,9,37,15,3,2,0.757,0,1,9,5,/boxes/TOR/TOR201405260.shtml
31,4,2,12,0.129,0,0,8,1,29,7,1,10,0.31,1,0,9,0,/boxes/LAN/LAN201407130.shtml
41,15,2,6,0.756,0,0,9,3,33,7,1,10,0.364,0,0,9,8,/boxes/CLE/CLE201406170.shtml
33,7,2,4,0.394,0,1,8,4,29,5,4,6,0.31,0,0,9,2,/boxes/WAS/WAS201409230.shtml
34,7,3,7,0.471,0,1,9,2,35,8,3,8,0.314,0,0,9,4,/boxes/LAN/LAN201408170.shtml
36,12,2,5,0.556,0,0,9,4,36,10,0,8,0.472,0,1,9,5,/boxes/SFN/SFN201406140.shtml
42,17,2,7,0.643,0,1,9,6,38,11,3,10,0.447,0,0,9,12,/boxes/TEX/TEX201407070.shtml
37,11,0,4,0.297,0,0,8,6,35,11,2,9,0.486,0,0,9,2,/boxes/CHN/CHN201409030.shtml
30,5,4,11,0.267,0,0,8,3,29,8,2,3,0.345,0,0,9,2,/boxes/CLE/CLE201406020.shtml
37,12,1,6,0.405,1,1,9,4,37,11,4,7,0.432,0,0,9,5,/boxes/MIN/MIN201405290.shtml
39,11,2,8,0.487,1,0,8,12,40,17,3,9,0.675,1,0,9,3,/boxes/ARI/ARI201405280.shtml
30,5,3,11,0.2,0,1,8,6,36,11,5,13,0.417,0,0,9,2,/boxes/CIN/CIN201408280.shtml
36,12,2,10,0.417,0,0,8,5,32,9,1,1,0.5,0,0,9,2,/boxes/MIL/MIL201406020.shtml
36,11,4,7,0.333,0,0,9,2,32,6,1,11,0.25,0,0,9,6,/boxes/ATL/ATL201408110.shtml
32,6,3,6,0.375,0,0,8,5,35,14,5,4,0.629,0,0,9,2,/boxes/SLN/SLN201407090.shtml
35,8,1,11,0.257,0,0,9,0,33,7,3,9,0.242,0,0,9,2,/boxes/CLE/CLE201409220.shtml
31,7,2,7,0.258,0,0,8,3,29,7,4,5,0.517,0,1,9,1,/boxes/ARI/ARI201406100.shtml
36,9,5,7,0.25,0,0,9,1,35,8,1,5,0.371,0,0,9,3,/boxes/BOS/BOS201407300.shtml
37,10,2,8,0.324,0,0,8,12,37,14,6,8,0.622,1,1,9,1,/boxes/MIN/MIN201408231.shtml
32,6,1,3,0.281,0,0,8,2,26,4,1,5,0.308,0,0,9,1,/boxes/DET/DET201406190.shtml
32,5,1,7,0.281,1,0,9,1,34,9,4,2,0.353,0,0,9,3,/boxes/DET/DET201404210.shtml
33,8,2,7,0.273,0,1,8,2,29,4,0,6,0.241,0,0,9,1,/boxes/WAS/WAS201404060.shtml
34,9,2,8,0.471,1,2,8,3,33,9,5,10,0.364,0,0,9,4,/boxes/MIA/MIA201406170.shtml
31,4,0,9,0.161,1,0,8,2,33,11,2,7,0.394,2,1,9,1,/boxes/ANA/ANA201406090.shtml
38,11,6,6,0.474,0,0,9,2,33,7,2,5,0.303,0,0,9,7,/boxes/KCA/KCA201405010.shtml
38,13,6,11,0.395,1,1,9,0,28,2,2,5,0.143,1,0,9,6,/boxes/ANA/ANA201408070.shtml
38,12,3,7,0.474,1,0,9,7,38,11,2,7,0.553,0,0,9,7,/boxes/HOU/HOU201405040.shtml
35,11,2,10,0.457,0,0,8,6,29,6,2,11,0.448,2,1,9,4,/boxes/SFN/SFN201404110.shtml
34,6,3,4,0.412,0,0,9.2,4,36,11,3,5,0.556,0,1,10,3,/boxes/CIN/CIN201405040.shtml
35,9,3,10,0.429,0,0,9,2,35,8,2,8,0.257,1,0,9,5,/boxes/ANA/ANA201405020.shtml
33,7,4,10,0.273,2,0,9,0,30,6,2,3,0.233,0,0,9,2,/boxes/PHI/PHI201406230.shtml
34,8,0,14,0.294,0,1,8,3,34,10,4,6,0.382,0,0,9,1,/boxes/BOS/BOS201404230.shtml
37,11,2,9,0.405,0,0,9,0,29,3,1,7,0.103,0,0,9,5,/boxes/SFN/SFN201407260.shtml
28,4,1,4,0.286,0,0,8,4,30,8,2,4,0.5,1,1,9,2,/boxes/SFN/SFN201406060.shtml
45,19,1,5,0.578,0,0,9,1,31,7,0,5,0.29,0,1,9,10,/boxes/KCA/KCA201409190.shtml
31,8,2,2,0.258,0,0,8,5,31,9,3,4,0.355,0,1,9,1,/boxes/HOU/HOU201408030.shtml
32,10,6,6,0.375,0,3,8,5,34,11,5,8,0.559,0,0,9,5,/boxes/HOU/HOU201405170.shtml
29,5,1,8,0.207,0,1,8,11,42,19,6,4,0.667,1,0,9,2,/boxes/SFN/SFN201408290.shtml
34,8,4,7,0.441,0,1,9,1,33,6,5,5,0.182,1,0,9,6,/boxes/PIT/PIT201404050.shtml
37,13,5,8,0.514,0,0,9,2,31,7,4,8,0.323,0,1,9,7,/boxes/NYN/NYN201404030.shtml
35,10,7,7,0.457,0,0,9,2,31,6,1,8,0.29,0,0,9,4,/boxes/ATL/ATL201406170.shtml
31,8,4,2,0.355,0,0,9,3,31,7,2,2,0.323,0,0,9,6,/boxes/TEX/TEX201408230.shtml
31,5,2,7,0.194,0,0,8,2,28,8,1,3,0.321,0,0,9,0,/boxes/MIL/MIL201403310.shtml
42,10,10,13,0.405,0,1,11,6,38,8,8,12,0.316,1,1,11,5,/boxes/TBA/TBA201408190.shtml
38,9,3,11,0.474,1,0,10,2,38,8,4,9,0.237,0,0,10,5,/boxes/ARI/ARI201408100.shtml
31,5,6,9,0.161,1,0,9,2,34,7,1,7,0.235,0,0,9,3,/boxes/CIN/CIN201407270.shtml
30,4,4,6,0.133,0,0,8,5,31,7,5,3,0.419,0,0,9,0,/boxes/SEA/SEA201408260.shtml
36,10,0,13,0.361,0,0,9,0,31,3,3,8,0.161,0,0,9,4,/boxes/CHA/CHA201406120.shtml
30,3,0,7,0.133,0,0,8,1,29,7,0,7,0.345,0,0,9,1,/boxes/ANA/ANA201407270.shtml
32,7,1,7,0.344,0,0,8,7,36,13,3,4,0.444,0,0,9,2,/boxes/CHN/CHN201406270.shtml
