"r","era","whip","so9","ba","obp","slg","r.1","era.1","whip.1","so9.1","ba.1","obp.1","slg.1"
4,"6.95454545454545","1.59090909090909","6.13636363636364","0.267045454545455","0.297297297297297","0.403528409090909",9,"6","1.42857142857143","8.57142857142857","0.303370786516854","0.360406091370558","0.449370786516854"
5,"7.11627906976744","1.6046511627907","6.27906976744186","0.218934911242604","0.252808988764045","0.355047337278106",3,"4.3953488372093","1.23255813953488","7.74418604651163","0.333333333333333","0.385","0.527777777777778"
3,"6.69767441860465","1.65116279069767","4.81395348837209","0.222857142857143","0.256830601092896","0.365708571428571",7,"3.47727272727273","1","9","0.245614035087719","0.319371727748691","0.444473684210526"
7,"7.92857142857143","1.76190476190476","6.21428571428571","0.245714285714286","0.281081081081081","0.394405714285714",3,"3.88636363636364","1.09090909090909","8.38636363636364","0.267441860465116","0.335078534031414","0.488441860465116"
6,"6.85714285714286","1.69047619047619","6.42857142857143","0.258426966292135","0.294736842105263","0.42135393258427",5,"4.29545454545455","1.18181818181818","8.79545454545454","0.267441860465116","0.329787234042553","0.453453488372093"
6,"4.21276595744681","1.27659574468085","9.76595744680851","0.273255813953488","0.309782608695652","0.499941860465116",0,"5.31818181818182","1.47727272727273","6.34090909090909","0.277173913043478","0.325","0.429429347826087"
8,"3.06382978723404","1.1063829787234","9.57446808510638","0.274853801169591","0.307692307692308","0.491140350877193",5,"4.6","1.4","6.2","0.265536723163842","0.3125","0.395553672316384"
8,"2.68085106382979","1.04255319148936","10.9148936170213","0.282485875706215","0.324607329842932","0.51393220338983",6,"5.4","1.55555555555556","7.2","0.259887005649718","0.309278350515464","0.395553672316384"
7,"6.17463617463617","1.55925155925156","7.67151767151767","0.224598930481283","0.302884615384615","0.315390374331551",3,"5.28260869565217","1.52173913043478","7.82608695652174","0.286486486486487","0.339901477832512","0.464935135135135"
9,"5.86558044806517","1.58859470468432","6.96537678207739","0.253886010362694","0.331797235023041","0.347134715025907",0,"5.8695652173913","1.65217391304348","8.60869565217391","0.277777777777778","0.336683417085427","0.411177777777778"
5,"5.13238289205703","1.46639511201629","6.04887983706721","0.266666666666667","0.331797235023041","0.364138461538462",2,"6.8","1.62222222222222","9.8","0.238095238095238","0.293478260869565","0.357154761904762"
4,"6.4","1.68888888888889","10.2","0.264367816091954","0.308510638297872","0.425448275862069",2,"3.11688311688312","1.55844155844156","8.18181818181818","0.241758241758242","0.323529411764706","0.406840659340659"
6,"5.25","1.45833333333333","10.5","0.232954545454545","0.287958115183246","0.380772727272727",8,"2.74390243902439","1.42276422764228","7.5","0.202185792349727","0.29126213592233","0.360939890710382"
1,"5.17021276595745","1.42553191489362","9.76595744680851","0.213872832369942","0.267379679144385","0.312132947976879",4,"2.19512195121951","1.32113821138211","6.76829268292683","0.214285714285714","0.285","0.340824175824176"
1,"4.89130434782609","1.23913043478261","9.58695652173913","0.18452380952381","0.247252747252747","0.279845238095238",5,"3.76744186046512","1.51162790697674","7.95348837209302","0.226993865030675","0.307692307692308","0.31280981595092"
2,"4.2","1.24444444444444","8.8","0.203488372093023","0.259459459459459","0.319941860465116",9,"3.27272727272727","1.45454545454545","8.79545454545454","0.26219512195122","0.349462365591398","0.378048780487805"
7,"4.5","1.29545454545455","9.61363636363636","0.195266272189349","0.252747252747253","0.284059171597633",5,"3.2","1.26666666666667","9","0.287425149700599","0.371727748691099","0.41925748502994"
5,"5.04878048780488","1.29268292682927","10.5365853658537","0.215568862275449","0.264044943820225","0.305329341317365",2,"3.4","1.31111111111111","8.4","0.286585365853659","0.37037037037037","0.439146341463415"
4,"3.8","1.31111111111111","8.2","0.28042328042328","0.323671497584541","0.460492063492064",5,"3.85714285714286","1.19047619047619","10.0714285714286","0.207317073170732","0.261363636363636","0.304914634146341"
6,"3.06818181818182","1.15909090909091","7.77272727272727","0.262032085561497","0.315270935960591","0.37975935828877",5,"3.55813953488372","1.30232558139535","9.83720930232558","0.236686390532544","0.279329608938547","0.366905325443787"
2,"3.68181818181818","1.38636363636364","6.34090909090909","0.26984126984127","0.321951219512195","0.349280423280423",0,"3.47727272727273","1.34090909090909","9.61363636363636","0.255952380952381","0.311475409836066","0.386803571428571"
