rk,boxscore,tm,ha,opp,r,ra,inn
1,/boxes/ARI/ARI201403220.shtml,ARI,,LAD,1,3,
2,/boxes/ARI/ARI201403230.shtml,ARI,,LAD,5,7,
3,/boxes/ARI/ARI201403310.shtml,ARI,,SFG,8,9,
4,/boxes/ARI/ARI201404010.shtml,ARI,,SFG,5,4,
5,/boxes/ARI/ARI201404020.shtml,ARI,,SFG,0,2,
6,/boxes/ARI/ARI201404030.shtml,ARI,,SFG,5,8,
7,/boxes/COL/COL201404040.shtml,ARI,@,COL,2,12,
8,/boxes/COL/COL201404050.shtml,ARI,@,COL,4,9,
9,/boxes/COL/COL201404060.shtml,ARI,@,COL,5,3,
10,/boxes/SFN/SFN201404080.shtml,ARI,@,SFG,3,7,
11,/boxes/SFN/SFN201404090.shtml,ARI,@,SFG,7,3,
12,/boxes/SFN/SFN201404100.shtml,ARI,@,SFG,6,5,10
13,/boxes/ARI/ARI201404110.shtml,ARI,,LAD,0,6,
14,/boxes/ARI/ARI201404120.shtml,ARI,,LAD,5,8,
15,/boxes/ARI/ARI201404130.shtml,ARI,,LAD,6,8,
16,/boxes/ARI/ARI201404140.shtml,ARI,,NYM,3,7,
17,/boxes/ARI/ARI201404150.shtml,ARI,,NYM,0,9,
18,/boxes/ARI/ARI201404160.shtml,ARI,,NYM,2,5,
19,/boxes/LAN/LAN201404180.shtml,ARI,@,LAD,4,2,12
20,/boxes/LAN/LAN201404190.shtml,ARI,@,LAD,6,8,
21,/boxes/LAN/LAN201404200.shtml,ARI,@,LAD,1,4,
22,/boxes/CHN/CHN201404210.shtml,ARI,@,CHC,1,5,
23,/boxes/CHN/CHN201404220.shtml,ARI,@,CHC,2,9,
24,/boxes/CHN/CHN201404230.shtml,ARI,@,CHC,7,5,
25,/boxes/CHN/CHN201404240.shtml,ARI,@,CHC,5,2,
26,/boxes/ARI/ARI201404250.shtml,ARI,,PHI,5,4,
27,/boxes/ARI/ARI201404260.shtml,ARI,,PHI,5,6,
28,/boxes/ARI/ARI201404270.shtml,ARI,,PHI,0,2,
29,/boxes/ARI/ARI201404280.shtml,ARI,,COL,5,8,
30,/boxes/ARI/ARI201404290.shtml,ARI,,COL,4,5,
31,/boxes/ARI/ARI201404300.shtml,ARI,,COL,5,4,10
32,/boxes/SDN/SDN201405020.shtml,ARI,@,SDP,2,0,
33,/boxes/SDN/SDN201405030.shtml,ARI,@,SDP,4,3,
34,/boxes/SDN/SDN201405040.shtml,ARI,@,SDP,3,4,
35,/boxes/MIL/MIL201405050.shtml,ARI,@,MIL,3,8,
36,/boxes/MIL/MIL201405060.shtml,ARI,@,MIL,7,5,
37,/boxes/MIL/MIL201405070.shtml,ARI,@,MIL,3,2,
38,/boxes/CHA/CHA201405090.shtml,ARI,@,CHW,3,9,
39,/boxes/CHA/CHA201405100.shtml,ARI,@,CHW,4,3,
40,/boxes/CHA/CHA201405110.shtml,ARI,@,CHW,5,1,
41,/boxes/ARI/ARI201405120.shtml,ARI,,WSN,5,6,
42,/boxes/ARI/ARI201405130.shtml,ARI,,WSN,3,1,
43,/boxes/ARI/ARI201405140.shtml,ARI,,WSN,1,5,
44,/boxes/ARI/ARI201405160.shtml,ARI,,LAD,0,7,
45,/boxes/ARI/ARI201405170.shtml,ARI,,LAD,18,7,
46,/boxes/ARI/ARI201405180.shtml,ARI,,LAD,5,3,
47,/boxes/SLN/SLN201405200.shtml,ARI,@,STL,0,5,
48,/boxes/SLN/SLN201405210.shtml,ARI,@,STL,2,3,12
49,/boxes/SLN/SLN201405220.shtml,ARI,@,STL,2,4,
50,/boxes/NYN/NYN201405240.shtml,ARI,@,NYM,3,2,
51,/boxes/NYN/NYN201405251.shtml,ARI,@,NYM,2,1,
52,/boxes/NYN/NYN201405252.shtml,ARI,@,NYM,2,4,
53,/boxes/ARI/ARI201405260.shtml,ARI,,SDP,7,5,
54,/boxes/ARI/ARI201405270.shtml,ARI,,SDP,3,4,
55,/boxes/ARI/ARI201405280.shtml,ARI,,SDP,12,6,
56,/boxes/ARI/ARI201405290.shtml,ARI,,CIN,4,0,
57,/boxes/ARI/ARI201405300.shtml,ARI,,CIN,4,6,
58,/boxes/ARI/ARI201405310.shtml,ARI,,CIN,0,5,
59,/boxes/ARI/ARI201406010.shtml,ARI,,CIN,3,4,
60,/boxes/COL/COL201406030.shtml,ARI,@,COL,4,2,
61,/boxes/COL/COL201406040.shtml,ARI,@,COL,16,8,
62,/boxes/COL/COL201406050.shtml,ARI,@,COL,12,7,
63,/boxes/ARI/ARI201406060.shtml,ARI,,ATL,2,5,
64,/boxes/ARI/ARI201406070.shtml,ARI,,ATL,4,3,11
65,/boxes/ARI/ARI201406080.shtml,ARI,,ATL,6,5,
66,/boxes/ARI/ARI201406090.shtml,ARI,,HOU,3,4,
67,/boxes/ARI/ARI201406100.shtml,ARI,,HOU,4,1,
68,/boxes/HOU/HOU201406110.shtml,ARI,@,HOU,1,5,
69,/boxes/HOU/HOU201406120.shtml,ARI,@,HOU,4,5,10
70,/boxes/LAN/LAN201406130.shtml,ARI,@,LAD,3,4,
71,/boxes/LAN/LAN201406140.shtml,ARI,@,LAD,4,6,
72,/boxes/LAN/LAN201406150.shtml,ARI,@,LAD,6,3,
73,/boxes/ARI/ARI201406160.shtml,ARI,,MIL,3,9,
74,/boxes/ARI/ARI201406170.shtml,ARI,,MIL,5,7,
75,/boxes/ARI/ARI201406180.shtml,ARI,,MIL,4,3,
76,/boxes/ARI/ARI201406190.shtml,ARI,,MIL,1,4,
77,/boxes/ARI/ARI201406200.shtml,ARI,,SFG,4,1,
78,/boxes/ARI/ARI201406210.shtml,ARI,,SFG,4,6,
79,/boxes/ARI/ARI201406220.shtml,ARI,,SFG,1,4,
80,/boxes/ARI/ARI201406240.shtml,ARI,,CLE,9,8,14
81,/boxes/ARI/ARI201406250.shtml,ARI,,CLE,1,6,
82,/boxes/SDN/SDN201406270.shtml,ARI,@,SDP,2,1,
83,/boxes/SDN/SDN201406280.shtml,ARI,@,SDP,3,1,
84,/boxes/SDN/SDN201406290.shtml,ARI,@,SDP,1,2,
85,/boxes/PIT/PIT201407010.shtml,ARI,@,PIT,2,3,
86,/boxes/PIT/PIT201407020.shtml,ARI,@,PIT,1,5,
87,/boxes/PIT/PIT201407030.shtml,ARI,@,PIT,10,2,
88,/boxes/ATL/ATL201407040.shtml,ARI,@,ATL,2,5,
89,/boxes/ATL/ATL201407050.shtml,ARI,@,ATL,4,10,
90,/boxes/ATL/ATL201407060.shtml,ARI,@,ATL,3,1,
91,/boxes/ARI/ARI201407070.shtml,ARI,,MIA,9,1,
92,/boxes/ARI/ARI201407080.shtml,ARI,,MIA,1,2,
93,/boxes/ARI/ARI201407090.shtml,ARI,,MIA,4,3,10
94,/boxes/SFN/SFN201407110.shtml,ARI,@,SFG,0,5,
95,/boxes/SFN/SFN201407120.shtml,ARI,@,SFG,2,0,
96,/boxes/SFN/SFN201407130.shtml,ARI,@,SFG,4,8,
97,/boxes/ARI/ARI201407180.shtml,ARI,,CHC,5,4,
98,/boxes/ARI/ARI201407190.shtml,ARI,,CHC,9,3,
99,/boxes/ARI/ARI201407200.shtml,ARI,,CHC,3,2,
100,/boxes/ARI/ARI201407210.shtml,ARI,,DET,3,4,
101,/boxes/ARI/ARI201407220.shtml,ARI,,DET,5,4,
102,/boxes/ARI/ARI201407230.shtml,ARI,,DET,5,11,
103,/boxes/PHI/PHI201407250.shtml,ARI,@,PHI,5,9,
104,/boxes/PHI/PHI201407260.shtml,ARI,@,PHI,10,6,10
105,/boxes/PHI/PHI201407270.shtml,ARI,@,PHI,2,4,
106,/boxes/CIN/CIN201407280.shtml,ARI,@,CIN,2,1,15
107,/boxes/CIN/CIN201407290.shtml,ARI,@,CIN,0,3,
108,/boxes/CIN/CIN201407300.shtml,ARI,@,CIN,5,4,
109,/boxes/ARI/ARI201407310.shtml,ARI,,PIT,7,4,
110,/boxes/ARI/ARI201408010.shtml,ARI,,PIT,4,9,
111,/boxes/ARI/ARI201408020.shtml,ARI,,PIT,3,8,
112,/boxes/ARI/ARI201408030.shtml,ARI,,PIT,3,2,10
